YEAR	CODE	CHANGE	TENTURE	ROE	MEDIA	S0	AGE	INDUSTRY	ASSET	ROA	RETURN	DEBTRATIO	S1	S12	BOARDSIZE	CEOSTOCK	CONTROL
2005	58	0	5	-9.626	0	7.237755187	54	C	3458666122	-5.5039	-0.322157782	52.0537	32.69	14.79	9	0	1
1999	59	0	0.4	6.4875	0	8.481230372	54	C	2835153540	6.4635	0.243622874	44.1376	69.25	63.99	8	0	1
2000	59	0	1.4	0.1548	0	8.479776829	55	C	2549493886	1.9091	0.180190345	41.2831	69.25	64.73	7	0	1
2001	59	1	2.4	0.1733	0	8.475548442	56	C	2444560110	2.2049	-0.237109961	44.02	69.25	68.8	11	0	1
1999	60	1	3	17.035	0	7.714637625	45	C	4263193000	9.7706	0.758404221	72.8417	46.67	39.94	11	0	1
2000	60	0	0	12.1675	0	7.696103452	56	C	4579011659	5.7604	0.092704443	74.3872	46.66	43.74	11	0	1
2001	60	0	1	2.9123	0	7.691294383	57	C	4660915842	4.0056	-0.313960302	75.7734	46.66	43.74	11	0	1
2002	60	0	2	4.3488	0	7.690546983	58	C	4631882210	4.1407	-0.057770487	74.8833	46.66	43.74	12	0	1
2003	60	0	3	5.5246	0	7.690719123	59	C	4814598446	4.3091	0.139923369	74.6424	46.66	43.74	14	0	1
2004	60	1	4	11.7295	0	7.692714711	60	C	4947273864	6.5895	0.032515932	73.2312	46.66	43.74	14	0	1
2003	61	0	0	5.4826	0	6.322103015	42	H	3502950809	4.6823	-0.033630301	51.9436	22.88	19.48	13	0	1
2004	61	0	1	0.753	1	6.322103015	43	H	4097281355	2.5995	-0.375885562	57.0279	22.88	19.48	13	0	1
2005	61	0	2	1.337	2	6.376100391	44	H	4419547086	4.4168	3.192881128	58.2472	22.88	16.12	13	0	1
1999	61	0	0	13.6899	2	5.529884539	56	H	1400736280	8.0698	0.684609346	54.34	11.96	6.59	12	0.001600103	1
2000	61	0	1	12.059	2	6.62707027	56	H	2246596887	8.2138	-0.036512697	47.4632	26.65	22.69	11	0.001667678	1
